"categId";"name";"category";"searchIndex";"isGenre";"isValuable"
"";"";"TV Show";"DVD";1;1
"#youdefine";"#youdefine";"Musician/Band";"Music";1;1
"'A Season On The Line' 
Digital EP • Out Now
https:";"'A Season On The Line' 
Digital EP • Out Now
https:";"Musician/Band";"Music";1;1
"- Alternative Pop (oxymoron)";"- Alternative Pop (oxymoron)";"Musician/Band";"Music";1;1
"0727 770 550";"0727 770 550";"Musician/Band";"Music";1;0
"100165043360957";"Eternal Sunshine of the Spotless Mind";"Movie";"DVD";0;1
"100167020047919";"Noaptea Alba a Filmului Romanesc";"Movie";"DVD";0;0
"100247126720664";"Taméca Jones";"Musician/Band";"Music";0;0
"100287080166957";"Dual Survival";"TV Show";"DVD";0;1
"100294126688207";"Scrabble";"Games/Toys";"VideoGames";0;1
"1004135442970130";"TYLER LEADS";"Musician/Band";"Music";0;0
"100447225240";"TOKiMONSTA";"Musician/Band";"Music";0;1
"10045457582";"Smallville";"TV Show";"DVD";0;1
"1005765989437677";"Fady";"Musician/Band";"Music";0;1
"100760976639701";"Amon Tobin";"Musician";"Music";0;1
"100827133412869";"Jason Statham";"Artist";"All";0;1
"100853663305754";"giovanni papini - un om sfarsit";"Book";"Books";0;1
"100871983286640";"Intre Orient Si Occident";"Book";"Books";0;1
"100923700115423";"Yvonne Official";"Musician/Band";"Music";0;1
"10092511675";"Rihanna";"Artist";"All";0;1
"101052049938609";"Roger Waters";"Musician/Band";"Music";0;1
"101198429956076";"Spider-Man";"Movie";"DVD";0;1
"101202796604801";"Shameless";"TV Show";"DVD";0;1
"101244583270026";"Cécile Verny Quartet";"Musician/Band";"Music";0;1
"101261552407";"Tech Toyz";"TV Show";"DVD";0;1
"101409489900693";"Kinship With All Life by J Allen Boone";"Book";"Books";0;1
"10150112274840444";"The Expendables";"Movie";"DVD";0;1
"101516769950164";"How I met Hans Sarpei";"TV Show";"DVD";0;0
"10161539667";"Sean Paul";"Musician/Band";"Music";0;1
"10204234691";"Shonky";"Musician/Band";"Music";0;1
"102099916530784";"Humans of New York";"Arts & Humanities Website";"All";0;1
"10212595263";"Metallica";"Musician/Band";"Music";0;1
"102172969824895";"Dorian Grey";"Book";"Books";0;1
"102237039946666";"Crunkinhaus";"Musician/Band";"Music";0;0
"10225487330";"The Who";"Musician/Band";"Music";0;1
"1023439644347734";"Joggernauts";"Video Game";"VideoGames";0;0
"102360416490973";"Ankur & The Ghalat Family";"Musician/Band";"Music";0;1
"102451659813253";"Jay Sean";"Musician/Band";"Music";0;1
"102567893157568";"Allrounderz - Nex Gen Cricketers";"Games/Toys";"VideoGames";0;1
"102682856449289";"indignu";"Musician/Band";"Music";0;1
"1029675203817680";"Tiff Club";"TV Show";"DVD";0;1
"103067756399964";"The Forsyte Saga";"Movie";"DVD";0;1
"103088423064446";"Ödipussi";"Movie";"DVD";0;1
"103111646395573";"Dr. House";"TV Show";"DVD";0;1
"103112403061826";"Child's Play";"Movie";"DVD";0;1
"103115419728956";"The Brief Wondrous Life of Oscar Wao";"Book";"Books";0;1
"103121296395191";"Claude Debussy";"Artist";"All";0;1
"103126149727936";"Pastewka";"TV Show";"DVD";0;1
"103131499727720";"Zapp";"TV Show";"DVD";0;1
"1031514403636006";"The clear-minded leader";"Book";"Books";0;1
"1033376933382255";"1920";"Movie";"DVD";0;1
"10341169793";"Burial";"Musician/Band";"Music";0;1
"103467873106";"Hari + Sukhmani";"Musician/Band";"Music";0;1
"103636093053996";"The Shawshank Redemption";"Movie";"DVD";0;1
"103655083002639";"Kapitalism - reteta noastra secreta";"Movie";"DVD";0;0
"103712497433";"Marijuana is Safer";"Book";"Books";0;1
"103730926332315";"Willy Wonka & the Chocolate Factory";"Movie";"DVD";0;1
"103748659663211";"Malcolm mittendrin";"Movie";"DVD";0;1
"103756999663076";"The Crow";"Movie";"DVD";0;1
"10376464573";"Lady Gaga";"Musician/Band";"Music";0;1
"103780266327890";"One Flew Over the Cuckoo's Nest";"Movie";"DVD";0;1
"103784336326495";"Amusing Ourselves to Death";"Book";"Books";0;1
"103796166326556";"Zombieland";"Movie";"DVD";0;1
"103834689655132";"A New Earth";"Book";"Books";0;1
"10394381762";"ESKMO";"Musician/Band";"Music";0;1
"103967119634226";"Dear Girls Above Me";"Book";"Books";0;1
"103975242972869";"Scrubs";"TV Show";"DVD";0;1
"103990509637581";"The Lord of the Rings film trilogy";"Movie";"DVD";0;1
"104041206298546";"London (2005 film)";"Movie";"DVD";0;1
"104044676297632";"Aqua Teen Hunger Force";"TV";"DVD";0;1
"104047449630576";"Sweet November";"TV Show";"DVD";0;1
"104047549631419";"Alexandra Nechita";"Artist";"All";0;1
"104049396298366";"The Lord of the Rings: The Return of the King (film)";"Movie";"DVD";0;1
"104051402964765";"Handsome Boy Modeling School";"Musician";"Music";0;1
"104052522965312";"Gladiator";"Movie";"DVD";0;1
"104059392964580";"Bill Maher";"Comedian";"All";0;1
"104070629628711";"If Only";"Movie";"DVD";0;1
"104080139080";"Borderlands";"Games/Toys";"VideoGames";0;1
"104081022962210";"Arkady and Boris Strugatsky";"Book";"Books";0;1
"10411076038";"Ólafur Arnalds";"Musician/Band";"Music";0;1
"104130852958000";"Il padrino";"Movie";"DVD";0;1
"104137579724283";"Arrow";"TV Show";"DVD";0;1
"104143569622008";"Need for Speed: Shift";"Video Game";"VideoGames";0;1
"1041576329206262";"Yahosh";"Musician/Band";"Music";0;1
"10416702230";"Requiem for a Dream";"Movie";"DVD";0;1
"1042748775833061";"C/O Saira Banu";"Movie";"DVD";0;0
"10429446003";"The xx";"Musician/Band";"Music";0;1
"1044209402375619";"Alin Moise";"Musician";"Music";0;0
"1044849315541396";"Overflow";"Musician/Band";"Music";0;1
"104525012958754";"American Gangster";"Movie";"DVD";0;1
"104617043136";"The Last Song";"Movie";"DVD";0;1
"1046314848718543";"The Late Late Show with James Corden";"TV Show";"DVD";0;1
"104640656291263";"Kölsch";"Musician/Band";"Music";0;1
"104686026228794";"The Selby";"Artist";"All";0;1
"10473091455";"It's Always Sunny in Philadelphia";"TV Show";"DVD";0;1
"104759949574673";"Bibanu mixXL";"Musician/Band";"Music";0;1
"10482418574";"Hayes Carll";"Musician/Band";"Music";0;1
"104920799561473";"Kimera";"Musician/Band";"Music";0;1
"10498014129";"Toy Story";"Movie";"DVD";0;1
"1050677261652173";"Toolin' Around TV";"TV Show";"DVD";0;0
"105455659489345";"Kevin Costner";"Actor";"DVD";0;1
"105490072868348";"RØDHÅD";"Musician/Band";"Music";0;1
"105501146149817";"Guy-Manuel de Homem-Christo";"Author";"Books";0;0
"105502672866640";"Trackmania";"Games/Toys";"VideoGames";0;1
"105536746145893";"Death on the Nile";"Book";"Books";0;1
"1055544947868803";"Hacksaw Ridge";"Movie";"DVD";0;1
"105579862807711";"Back in Black";"Song";"Music";0;1
"105603502805754";"The Silence of the Lambs";"Movie";"DVD";0;1
"105603536138887";"The Lost Symbol";"Books & Magazines";"Books";0;1
"105608999473021";"Dune (film)";"Movie";"DVD";0;1
"105622106138647";"Scarface";"Movie";"DVD";0;1
"105635792803022";"Star Trek: The Next Generation";"TV Show";"DVD";0;1
"105638652803531";"Fear and Loathing in Las Vegas";"Movie";"DVD";0;1
"105639366135249";"La sindrome di Stendhal";"Movie";"DVD";0;1
"105640312802475";"Cómo conocí a vuestra madre";"TV Show";"DVD";0;1
"105663602801940";"Stargate Universe";"TV Show";"DVD";0;1
"105666782800836";"Adam Beyer";"Artist";"All";0;1
"105668055695";"This Boy's Life (1993)";"Movie";"DVD";0;1
"105748762788336";"Stu the Cockatoo Is New at the Zoo";"Book";"Books";0;1
"105753329459670";"Love in the Time of Cholera";"Book";"Books";0;1
"105794186120448";"Happy Feet";"Movie";"DVD";0;1
"10582587785";"Damien Rice";"Musician/Band";"Music";0;1
"1058470560858029";"Информа";"TV Show";"DVD";0;1
"105870741086";"American Music Awards";"TV Show";"DVD";0;1
"105915426108515";"257ers";"Musician/Band";"Music";0;1
"105918996111009";"Sade La Ospiciu";"Book";"Books";0;0
"105961669467226";"Brian Sanhaji";"Musician/Band";"Music";0;1
"105986029432259";"Brothers & Sisters";"TV Show";"DVD";0;1
"106047302760558";"Dominion";"Games/Toys";"VideoGames";0;1
"106059986092417";"Antonio Vivaldi";"Artist";"All";0;1
"106169996070655";"Legendele Olimpului";"Book";"Books";0;0
"106176576080636";"Batman: Under the Red Hood";"Movie";"DVD";0;1
"106199152740839";"Rengen";"Book";"Books";0;1
"106258099410378";"Anno (video game)";"Video Game";"VideoGames";0;1
"1062692060506408";"The Last Key To Success";"Book";"Books";0;1
"106280989394320";"Naruto Naruto Shippuden";"TV";"DVD";0;1
"106285679408398";"Sun zi art of war";"Book";"Books";0;1
"1063179560436805";"Zunidos";"Book";"Books";0;1
"106332056071229";"GameOne";"TV Show";"DVD";0;0
"106351326067992";"Scott Fitzgerald";"Author";"Books";0;1
"106357469967";"The Vampire Diaries";"TV Show";"DVD";0;1
"106364236051588";"Più Di Un Gioco Phil Jackson";"Book";"Books";0;1
"106420509378983";"The Lost Highway";"Movie";"DVD";0;1
"106428966044322";"Invitatie La Vals";"Book";"Books";0;0
"106450849390925";"Crazy Love (book)";"Books & Magazines";"Books";0;1
"106498119377473";"Nu Te Misca";"Book";"Books";0;0
"106527789383680";"Shawshank Redemption";"Movie";"DVD";0;1
"106535912774477";"The Brothers Grimm";"Movie";"DVD";0;1
"1065654006827703";"Chaplin Laughing World";"Movie Character";"DVD";0;0
"106602966061813";"Black Swan";"Movie";"DVD";0;1
"106748436022065";"Public Enemy (film)";"Movie";"DVD";0;1
"106769866033507";"TECHNO";"Musician/Band";"Music";0;1
"106824686009230";"Odio La Tv";"TV";"DVD";0;0
"106842335859";"Alborosie Official Page";"Musician/Band";"Music";0;0
"106902459333443";"Connan";"TV";"DVD";0;0
"107041079424591";"Dans mes yeux";"Book";"Books";0;1
"10714086302";"Saturday Night Live";"TV Show";"DVD";0;1
"107172879430061";"100 MAN FIGHT";"Movie";"DVD";0;1
"107259432637204";"Die Simpsons";"TV Show";"DVD";0;1
"107281112635118";"Mere Christianity";"Book";"Books";0;1
"107281645968137";"Zedd";"Musician/Band";"Music";0;1
"107319183300365";"Josh Radnor";"Actor";"DVD";0;1
"107325019296740";"4 Months, 3 Weeks and 2 Days";"Movie";"DVD";0;1
"107344399494";"Son Lux";"Musician/Band";"Music";0;1
"107500145939565";"Stargate (film)";"Movie";"DVD";0;1
"107518629834";"Marteria";"Musician/Band";"Music";0;1
"107544452609071";"Foundation";"Book";"Books";0;1
"107651389264070";"The Mists of Avalon (miniseries)";"TV Show";"DVD";0;0
"107657069263867";"Into the Wild";"Book";"Books";0;1
"107680842594652";"Forrest Gump";"Movie";"DVD";0;1
"107716979257871";"Malcolm in the Middle";"TV";"DVD";0;1
"107735576010806";"Demet Tuğcu";"Musician/Band";"Music";0;0
"107753649251722";"Suferintele Tanarului Werther";"Book";"Books";0;0
"107761955913396";"Batman Begins";"Movie";"DVD";0;1
"107777555911981";"Kanye West";"Artist";"All";0;1
"107796322576604";"Fairy Tales (Terry Jones book)";"Book";"Books";0;1
"107822299247235";"Forrest Gump";"Movie";"DVD";0;1
"107834049246361";"The Forever War";"Book";"Books";0;1
"107858495903290";"Ken Follett";"Author";"Books";0;1
"107868122580188";"Tarantino";"Artist";"All";0;1
"107881309234735";"Back to the Future";"Movie";"DVD";0;1
"107907239237915";"THX 1138";"Movie";"DVD";0;1
"107957985891392";"Stargate SG-1";"TV Show";"DVD";0;1
"107968435895468";"In Gura Presei Cu Mircea Badea";"TV";"DVD";0;1
"107987599221625";"Zhuangzi";"Book";"Books";0;1
"107989139222762";"Die nackte Kanone";"Movie";"DVD";0;1
"107999845895124";"Star Wars";"Movie";"DVD";0;1
"108033369246988";"Les Guignols";"TV Show";"DVD";0;1
"108034925893446";"SKisM";"Musician/Band";"Music";0;1
"108042272549837";"The Glass Bead Game";"Book";"Books";0;1
"108045035896882";"Forest Gump";"Movie";"DVD";0;1
"108072122547649";"Jane Eyre";"Book";"Books";0;1
"108088505886661";"PhilosophersStone on etsy";"Artist";"All";0;1
"108109779209362";"Machete";"Movie";"DVD";0;1
"108119555874968";"Terminator (serie di film)";"Movie";"DVD";0;1
"108126762540745";"Thus Spoke Zarathustra";"Book";"Books";0;1
"1081571401975533";"Léa Navarro - Athlète";"Athlete";"All";0;0
"108163659216619";"Y Tu Mama Tambien";"Movie";"DVD";0;1
"108166409205738";"Jazz";"Musician";"Music";0;1
"108172722696277";"The Wolf of Wall Street";"Movie";"DVD";0;1
"108187262608717";"Django Unchained";"Movie";"DVD";0;1
"108203082540582";"Solaris";"Movie";"DVD";0;1
"108209479206372";"The Boy in the Striped Pyjamas (film)";"Book";"Books";0;1
"108213189199750";"P.S. I Love You";"Movie";"DVD";0;1
"108213965873230";"Stalker";"Movie";"DVD";0;1
"108236329204304";"Coach Carter";"Athlete";"All";0;1
"108238055877621";"Love and basketball";"Movie";"DVD";0;1
"108244205870897";"Propaganda (book)";"Book";"Books";0;1
"108265422534627";"Jenn Blosil";"Musician/Band";"Music";0;1
"108267609854536";"Deadpool Movie";"Movie";"DVD";0;1
"108268682687";"DVS1";"Musician/Band";"Music";0;1
"108283065872450";"Buyology";"Book";"Books";0;1
"108320649192719";"Lolita (1962 film)";"Movie";"DVD";0;1
"108338005860459";"Tudor Gheorghe";"Artist";"All";0;1
"108359889188238";"Ryan Gosling";"Actor";"DVD";0;1
"108376422526466";"Perfume: The Story of a Murderer";"Books & Magazines";"Books";0;1
"108387662516949";"Sons of Anarchy";"TV Show";"DVD";0;1
"108415652515625";"NDTV Good Times";"Movie";"DVD";0;1
"108436222513944";"Blindness";"Book";"Books";0;1
"108449125856336";"Collapse (book)";"Book";"Books";0;1
"108451689186682";"Amelie";"Movie";"DVD";0;1
"108473732513283";"The Metamorphosis";"Book";"Books";0;1
"108546855836686";"Extremoduro";"Band";"Music";0;1
"108556002500104";"Magnolia";"Movie";"DVD";0;1
"108576355834402";"Extremely Loud and Incredibly Close";"Book";"Books";0;1
"108589339206174";"Superbad";"Movie";"DVD";0;1
"108595319164848";"Fallout: New Vegas";"Video Game";"VideoGames";0;1
"108633599161107";"The Bucket List";"Movie";"DVD";0;1
"108645122493204";"Poker After Dark";"TV Show";"DVD";0;0
"10869241961";"Eric Prydz";"Musician/Band";"Music";0;1
"108701539154789";"Cold Sassy Tree";"Book";"Books";0;1
"108708719154276";"Don Quixote";"Book";"Books";0;1
"108785192483903";"In Gura Presei";"TV";"DVD";0;0
"108905269168364";"Conan O'Brien Presents: Team Coco";"TV Show";"DVD";0;1
"10894777437";"Stromae";"Musician/Band";"Music";0;1
"108965075844018";"Exotik a GoGo";"Musician/Band";"Music";0;0
"109007419129540";"Ghostland Observatory";"Musician/Band";"Music";0;1
"10901008068";"Guns N' Roses";"Musician/Band";"Music";0;1
"109040379115056";"New Day NW";"TV Show";"DVD";0;1
"1090548260959665";"Woolf and the Wondershow";"Musician/Band";"Music";0;1
"109071575802304";"Being John Malkovich";"Movie";"DVD";0;1
"109105999164654";"Xtra Night Show";"TV Show";"DVD";0;0
"109107069114995";"Schindler's List";"Movie";"DVD";0;1
"109158369102592";"Ludwig van Beethoven";"Artist";"All";0;1
"109180485914";"belladonnakillz";"Musician/Band";"Music";0;1
"109290412438658";"Umse";"Musician/Band";"Music";0;1
"109291829089378";"Let the Right One In";"Movie";"DVD";0;1
"109292849120694";"Beatbender";"Musician/Band";"Music";0;0
"109295922429656";"The Host (film)";"Movie";"DVD";0;1
"109357292417003";"Deconstructing Harry";"Movie";"DVD";0;1
"109363845748516";"Frank Herbert";"Author";"Books";0;1
"109369595747822";"No Country for Old Men (film)";"Movie";"DVD";0;1
"109373402413835";"Coupling";"TV Show";"DVD";0;1
"109385305754998";"Wild at Heart (film)";"Movie";"DVD";0;1
"109403155746325";"Banged Up Abroad";"TV Show";"DVD";0;1
"109411345745001";"Seven";"Movie";"DVD";0;1
"109430215821200";"Dislecksia: The Movie";"Movie";"DVD";0;1
"109452305747157";"Die Ludolfs – 4 Brüder auf’m Schrottplatz";"TV Show";"DVD";0;1
"109456239073540";"Thank You for Smoking";"Movie";"DVD";0;1
"109456575740037";"Neagu Djuvara";"Author";"Books";0;1
"109461625739225";"Spun";"Movie";"DVD";0;1
"109469689079628";"Family Guy";"TV Show";"DVD";0;1
"109480629101278";"Official Machete";"Movie";"DVD";0;1
"109481099078087";"Maniac Magee";"Book";"Books";0;1
"109485392411084";"Braveheart";"Movie";"DVD";0;1
"109491119070215";"Heroes";"TV Show";"DVD";0;1
"109500505734598";"The Dark Knight";"Movie";"DVD";0;1
"109504385809039";"Extremoduro (oficial)";"Musician/Band";"Music";0;0
"109505246512";"Charleston Patrick";"Musician/Band";"Music";0;1
"109515035734848";"Justin Timberlake";"Author";"Books";0;1
"109539725739177";"Donnie Darko";"Movie";"DVD";0;1
"109548742398067";"How High";"Movie";"DVD";0;1
"10959868407";"Sia";"Musician/Band";"Music";0;1
"109631159063600";"Tender Is the Night";"Book";"Books";0;1
"109681892391703";"Sunshine (2007 film)";"Movie";"DVD";0;1
"109685539057624";"Gregory Keyes";"Book";"Books";0;1
"109714542379100";"Il Signore Degli Anelli Tolkien";"Book";"Books";0;1
"109746895718909";"The Sandman";"Book";"Books";0;1
"109766969049612";"Need for Speed: ProStreet";"Video Game";"VideoGames";0;1
"109785182407688";"Madeo (Mother)";"Movie";"DVD";0;1
"109804815711820";"Fui Vakapuna";"Athlete";"All";0;1
"109806759084319";"Jo.E";"Musician/Band";"Music";0;1
"109915855695795";"Taladega Nights";"Movie";"DVD";0;1
"110028159012929";"Trei Pe Doua Biciclete";"Book";"Books";0;0
"110038525685699";"Moartea Domnului Lazarescu";"Movie";"DVD";0;0
"110041432359171";"Sobrenatural (série)";"TV";"DVD";0;0
"110051375738010";"Lock, Stock and Two Smoking Barrels";"Movie";"DVD";0;1
"110077782355169";"Edith Piaf";"Author";"Books";0;1
"11008265843";"Californication";"TV Show";"DVD";0;1
"110106029012337";"紅樓夢";"Book";"Books";0;1
"110106192432427";"SS Rajamouli";"Film Director";"DVD";0;1
"110155955705941";"Fast Five (film)";"Movie";"DVD";0;1
"110240261663";"Ann Blake Tracy, Author";"Author";"Books";0;0
"110331638983608";"Sabine Ebert";"Book";"Books";0;1
"1104388302922448";"Christopherus";"Musician/Band";"Music";0;1
"110441385634997";"The Sanctuary";"TV";"DVD";0;1
"110452922312195";"Switch";"Book";"Books";0;1
"110475388978628";"The Walking Dead";"TV Show";"DVD";0;1
"110483492313332";"Natalie Di Luccio";"Musician/Band";"Music";0;1
"110495738982958";"Jan Böhmermann";"Comedian";"All";0;1
"110522658972028";"His Dark Materials Trilogy";"Book Series";"Books";0;1
"11052436635";"Röyksopp";"Musician/Band";"Music";0;1
"110569592291347";"Alexandru Mitru";"Book";"Books";0;1
"11057749354";"My Name is Earl";"TV Show";"DVD";0;1
"110587525628176";"Dune series";"Book";"Books";0;1
"110622715633367";"Stargate (Stargate-SG-1)";"TV Show";"DVD";0;1
"110664992295466";"Beethoven";"Artist";"All";0;1
"110706832277117";"Java";"Book";"Books";0;1
"110754615619875";"Chopin";"Artist";"All";0;1
"110763102281944";"Cable Guy";"Movie";"DVD";0;1
"110801538944727";"Griffin";"TV Show";"DVD";0;1
"110825288957333";"V for Vendetta (2005)";"Movie";"DVD";0;1
"110825855616338";"The Ricky Gervais Show";"TV Show";"DVD";0;1
"110856565610059";"Carry On My Wayward Son";"Song";"Music";0;1
"110865425251";"United States of Tara";"TV Show";"DVD";0;1
"110928785654965";"Cedry2k";"Musician/Band";"Music";0;0
"110938228930890";"Aeon Flux (film)";"Movie";"DVD";0;1
"11096879251";"Chester Bennington";"Musician";"Music";0;1
"1109871955740442";"Andrea Frascari Man Physique";"Athlete";"All";0;0
"110988432273770";"The Secret In Their Eyes";"Movie";"DVD";0;1
"111121877591";"Despicable Me";"Movie";"DVD";0;1
"111237338932138";"Spend Shift";"Author";"Books";0;1
"111261202221563";"Research Books";"Book";"Books";0;1
"111273196003";"Hot Natured";"Musician/Band";"Music";0;1
"11137430613";"Rome";"TV Show";"DVD";0;1
"111379332214732";"Ender's Game Orson Scott Card";"Book";"Books";0;1
"111398888898378";"Xunzi";"Book";"Books";0;1
"111421808881041";"Bobby McFerrin";"Musician/Band";"Music";0;1
"1114452681938103";"Pottoriginale";"Movie";"DVD";0;0
"111549432199998";"Banksy's Exit Through The Gift Shop";"Movie";"DVD";0;1
"111559332195204";"Visul Din Pavilionul Rosu";"Book";"Books";0;0
"111567015535666";"Phantom of Liberty";"Movie";"DVD";0;1
"111585402234336";"Castles (band)";"Musician/Band";"Music";0;1
"111655378850577";"2012";"Movie";"DVD";0;1
"111658192186218";"Legaturi bolnavicioase";"Movie";"DVD";0;1
"111738242177766";"Uncharted 2";"Games/Toys";"VideoGames";0;1
"111777575515915";"Godfather 2";"Movie";"DVD";0;1
"111802472165289";"Despicable Me";"Movie";"DVD";0;1
"111834188836326";"Cel mai iubit dintre pamanteni";"Book";"Books";0;1
"111890395494583";"Filantropica";"Movie";"DVD";0;1
"111912735491559";"Exam (2009 film)";"Movie";"DVD";0;1
"111939992157100";"Mengzi (book)";"Book";"Books";0;1
"111965115534236";"Eurovision Romania";"TV Show";"DVD";0;0
"111995492225212";"Dedh Ishqiya";"Movie";"DVD";0;1
"112002308826161";"The secret window";"Movie";"DVD";0;1
"112021945509215";"A Discovery of Witches";"Book";"Books";0;1
"112061162142517";"Step Up";"Movie";"DVD";0;1
"112082618808619";"Star Trek: Enterprise";"TV Show";"DVD";0;1
"112085722151747";"Batman the dark night";"Movie";"DVD";0;1
"112105245482063";"MTV Scarred";"Movie";"DVD";0;0
"112117305466630";"The Nanny Diaries";"Movie";"DVD";0;1
"112130258798404";"Guy Ritchie";"Author";"Books";0;1
"112130828803599";"Bruce Willis";"Actor";"DVD";0;1
"112146662135501";"Volker Pispers";"Artist";"All";0;1
"11215611028";"Monsters, Inc.";"Movie";"DVD";0;1
"112178748871061";"Stardust";"Movie";"DVD";0;1
"112203972125688";"Uncharted 2: Among Thieves";"Video Game";"VideoGames";0;1
"112230292126900";"The Future Sound of London";"Musician";"Music";0;1
"112255038790147";"Gears of War 2";"Video Game";"VideoGames";0;1
"112317682114594";"A Beautiful Mind";"Movie";"DVD";0;1
"112352102109305";"Californication";"TV Show";"DVD";0;1
"112364185443073";"EuroTrip";"Movie";"DVD";0;1
"112378792107397";"Laurent Garnier";"Artist";"All";0;1
"112381635454712";"Arthur Clarke";"Author";"Books";0;1
"112418508772821";"Red Dead Redemption";"Video Game";"VideoGames";0;1
"112419708771052";"Serj Tankian";"Author";"Books";0;1
"112491825448634";"HOSH";"Musician/Band";"Music";0;1
"112553008757502";"Alborosie";"Artist";"All";0;1
"112576468754659";"Pulp Fiction (film)";"Movie";"DVD";0;1
"1125929467464976";"Jordindian";"Artist";"All";0;1
"112656785448661";"Alice: Madness Returns";"Games/Toys";"VideoGames";0;1
"112676555421147";"3 Mistakes of Ma Life";"Book";"Books";0;1
"112686985412408";"One Hundred Years of Solitude";"Book";"Books";0;1
"112716718748387";"ComputerGames.ro";"Video Game";"VideoGames";0;0
"112742868753194";"Famous 5";"Book";"Books";0;1
"112746048836924";"Dark Shadows IT";"Movie";"DVD";0;1
"112833132061215";"V for Vendetta";"Movie";"DVD";0;1
"112833862199005";"Totoi Semerena";"Artist";"All";0;0
"112836062065164";"Bill Frisell";"Artist";"All";0;1
"112842988801190";"Pulp Fiction";"Movie";"DVD";0;1
"112859028728171";"Hour of the Wolf";"Movie";"DVD";0;1
"112872635391560";"Non ti muovere (romanzo)";"Book";"Books";0;1
"112905748806596";"FailArmy";"TV Show";"DVD";0;0
"112906488744239";"Amelie";"Movie";"DVD";0;1
"112972925383378";"The Transporter";"TV";"DVD";0;1
"112975445381427";"Cat Power";"Author";"Books";0;1
"112986695524055";"The Connection Documentary";"Movie";"DVD";0;1
"113017835405482";"American Psycho";"Movie";"DVD";0;1
"113129147273";"b. organic";"TV Show";"DVD";0;1
"113151242154930";"Ostgut Booking";"Musician/Band";"Music";0;1
"113327418681014";"Wild Strawberries";"Movie";"DVD";0;1
"113401482006986";"The Matrix";"Movie";"DVD";0;1
